Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,,,,,,,,,,
,,MARCA,PRECIO,ml,$ X ml,INGREDIENTES,FORMATO,NOTAS,PAÍS,PAGINA WEB,
,ECOLÓGICOS,Tensioactivos de México,735.97,4000,0.1839925,,Líquido,,,https://abonitos.mx/products/quita-manchas-liq-pre-desmanchador-citrico-4-lts-ecologico,
,,Newen,18,,,pino y coco,Barra,"Antibacterial, apto para ropa fina y piel sensible, hipoalergénico. *No necesita enjuague",México ,https://newen.mx/producto/newen-borrador-de-manchas/,"Buen diseño de página y M,V,O "
,,Ecology World,65,1000,0.065,,Líquido,"actúa por el principio de conversión, transforma las manchas en espuma // Diluir con agua: 1 parte de Limpiador Multiusos con 10 partes de agua // Rinde hasta 11L",,https://www.ecologiaysalud.com/limpiador-multiusos.html,
,,Xpecial,,200,0,,Líquido,Diferentes según el origen de la mancha,Perú,https://xpecialclean.com/categoria-producto/desmanchadores/,
,,Mabek,55.76,1000,0.05576,,Líquido,Sí necesita enjuague,Colombia,https://ecotiendavivimosverde.com/producto/desmanchador-para-ropa-color-biodegradable/,
,,Eco Cooper,65.38,1000,0.06538,,Líquido,,Chile,https://www.grupoegle.cl/categoria-producto/hogar-y-retail/desmanchadores-de-tela/,
,,,,,,,,,,,
,,Precio promedio por 1L,,,0.0740265,74.0265,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,MARCA,PRECIO,ml,$ X ml,INGREDIENTES,FORMATO,NOTAS,PAÍS,PAGINA WEB,
,TRADICIONALES,Total,51,700,0.07285714286,"Agua, detergente no iónico biodegradable, isopropanol, tensoactivo aniónico, lineal, perfume, secuestrante de dureza y germicida.",Líquido ,,México,https://super.walmart.com.mx/pre-lavadores-y-quitamanchas-para-ropa/prelavador-y-desmanchador-liquido-total-para-ropa-700-ml/00750102116071,
,,Clorox,18,730,0.02465753425,"Agua, peróxico de hidrógeno, dodecilbencensulfonato de sodio, dodecilbencensulfonato de trietanolamina, coadyuvantes, surfactante, fragancia, abrillantador óptico y colorante.",Líquido ,,México,Walmart,
,,,105,3800,0.02763157895,,Líquido ,,México,Walmart,
,,Clorox,59,1890,0.03121693122,,Líquido ,,México,Walmart,
,,Vanish multiusos,26.5,450,0.05888888889,,Gel,"desinfecta // Agua, peróxido de hidrógeno <10%, ácido alquilbencensulfónico <5%, tensoactivo no iónico, modificador relógico, hidróxido de sodio <5%, agente secuestrante, fragancia, antiespumante y colorante.",México,Walmart,
,,Vanish Oxi action (blancos),96.5,450,,,Polvo,"kg, no ml",México,Walmart,
,,Oxiclean ultra,82,900,0.09111111111,"Agua, Agentes limpiadores (tensoactivos aniónicos y no iónicos), Reguladores de Ph, Fragancia, Enzimas (Proteasa alcalina, alfa Amilasa beta-Mananasa), Agente anti-redepositante de suciedad, Estabilizador de enzimas, Ablandadores de agua, Abrillantador óptico, Conservador, Colorante.",Gel,4 cucharaditas cada 4.5kg,México,Walmart,
,,Vanish pack Quitamanchas (blanco y color),509,8000,0.063625,,,Dos botes de 4L,México,Walmart,
,,Quitamanchas Iberia,70,150,0.4666666667,"Del 5 al 15 % tensoactivos no iónicos, otros: enzimas, benzisothiazolinone, 2 bromo, 2 nitropropane 1, 3 diol, mezcla de metilcloroisotiazolinona, methylisothiazolinone.",,,México,Walmart,
,,Dr.Berckmann,51,50,1.02,"Agua, Alcohol etoxilado, tensoactivos no iónicos y anionicos.",,,México,Walmart,
,,,,,,,,,,,
,,Precio promedio por 1L,,,0.2062949838,206.2949838,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,320,,,,,,
,,,,,277.3333333,100,,,,,
,,,,,,,,,,,
,,,,,50,,,,,,
,,,,,43.33333333,,,,,,
