Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Marca,Producto ,Tipo,Cantidad (L),Precio La Comer,Precio por L,Precio por gr,Precio por lavada,,Producto ecológico,Tipo,Cantidad,Precio ,Precio por L,Precio por gr,Cargas,Link
MAS,Original,Liquido ,0.83,34.5,41.56626506,0.04156626506,3.11746988,,Detergente para ropa 100% biodegradable y ecológico,jabón líquido ,4,399,,0.09975,,https://www.amazon.com.mx/Detergente-biodegradable-ecol%C3%B3gico-litros-Delicioso/dp/B07JHNHPRF
,,,1.83,72,39.3442623,0.0393442623,2.950819672,,Great Value,jabón líquido ,5.5,155,,0.02818181818,,https://super.walmart.com.mx/detergente/detergente-liquido-great-value-terra-5-5-l/00750649500219?adBanner=super&adStoreId=0000009999&gclid=CjwKCAjw6raYBhB7EiwABge5Ko2MNfhacPVi80i0Jflk7tXcnlgpBF4Ozk2icGJe2QTuW8RLJJVYLBoCwWYQAvD_BwE
,,,3,133,44.33333333,0.04433333333,3.325,,,,,,,,,
,,,4.65,185,39.78494624,0.03978494624,2.983870968,,Detergente 0 wazte,jabón líquido ,1,66,,0.066,,https://supra.club/collections/limpieza/products/detergente
,,,6.64,225,33.88554217,0.03388554217,2.541415663,2.8125,Suavizante 0 wazte,suavizante,1,55,,0.055,,https://supra.club/collections/limpieza/products/suavizante
,Renueva y florece ,,4.65,185,39.78494624,0.03978494624,2.983870968,,Mela Power,jabón líquido ,0.946,389,,0.411205074,96,https://mx.melaleuca.com/productstore/limpieza-y-lavandera/detergente-para-la-ropa-melapower9x
,Ropa oscura,,6.64,225,33.88554217,0.03388554217,2.541415663,,Mela Soft,suavizante,0.946,233,,0.2463002114,96,https://mx.melaleuca.com/productstore/limpieza-y-lavandera/suavizante-de-telas-lquido-melasoft-9x268
,Bebé,,1.83,72,39.3442623,0.0393442623,2.950819672,,Biogar,detergente líquido,2,280,,0.14,,https://market.moramora.mx/products/biogar-detergente-para-ropa-ecologico?gclid=CjwKCAjw6raYBhB7EiwABge5KlQ2IHWPjW_abSSW1cHtH_5rAv_89I0PdqnV9a2rrIOs3wVoUoGk9hoCklUQAvD_BwE
,Frescura intensa,,4.65,185,39.78494624,0.03978494624,2.983870968,,Newen,detergente líquido,2,275,,0.1375,100,https://www.amazon.com.mx/Newen-Detergente-sustentable-para-ropa/dp/B079YZFJ8W/ref=asc_df_B079YZFJ8W/?tag=gledskshopmx-20&linkCode=df0&hvadid=360711509195&hvpos=&hvnetw=g&hvrand=18220462142924974394&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1010043&hvtargid=pla-788640325333&psc=1
Ace,Original,Polvo,0.648,35.5,54.78395062,0.05478395062,4.108796296,,Biogar ,detergente líquido,2,198,,0.099,,https://abastovegano.com/products/detergente-ecologico-2l-biogar?utm_campaign=gs-2020-03-17&utm_source=google&utm_medium=smart_campaign&gclid=CjwKCAjw6raYBhB7EiwABge5KjnHOtRRPYPZEXy9eVSPYRTkO2V3YN9Vuxg6lVI_U6uGAae5OVW6CRoCI-YQAvD_BwE
,,,0.75,24.02,32.02666667,0.03202666667,2.402,,,,,,,,,
,,,1.72,98,56.97674419,0.05697674419,4.273255814,,Pure &Sure (bebé),detergente líquido,5,390,,0.078,,https://pureandsure.com.mx/collections/ambiente/products/detergente-para-ropa-de-bebe
,,,3.56,198.5,55.75842697,0.05575842697,4.181882022,,Newen,detergente líquido,1,275,,0.275,100,https://www.cenit.mx/MLM-1482828266-detergente-ropa-alta-eficiencia-he-hipoalergenico-100-cargas-_JM?utm_source=google&utm_medium=cpc&utm_campaign=darwin_ss
